frame,time_sec,video_width,video_height,fps,l0_x,l0_y,l0_z,l0_v,l0_vx,l0_vy,l0_vz,l1_x,l1_y,l1_z,l1_v,l1_vx,l1_vy,l1_vz,l2_x,l2_y,l2_z,l2_v,l2_vx,l2_vy,l2_vz,l3_x,l3_y,l3_z,l3_v,l3_vx,l3_vy,l3_vz,l4_x,l4_y,l4_z,l4_v,l4_vx,l4_vy,l4_vz,l5_x,l5_y,l5_z,l5_v,l5_vx,l5_vy,l5_vz,l6_x,l6_y,l6_z,l6_v,l6_vx,l6_vy,l6_vz,l9_x,l9_y,l9_z,l9_v,l9_vx,l9_vy,l9_vz,l10_x,l10_y,l10_z,l10_v,l10_vx,l10_vy,l10_vz,l11_x,l11_y,l11_z,l11_v,l11_vx,l11_vy,l11_vz,l12_x,l12_y,l12_z,l12_v,l12_vx,l12_vy,l12_vz,l13_x,l13_y,l13_z,l13_v,l13_vx,l13_vy,l13_vz,l14_x,l14_y,l14_z,l14_v,l14_vx,l14_vy,l14_vz,l15_x,l15_y,l15_z,l15_v,l15_vx,l15_vy,l15_vz,l16_x,l16_y,l16_z,l16_v,l16_vx,l16_vy,l16_vz,l17_x,l17_y,l17_z,l17_v,l17_vx,l17_vy,l17_vz,l18_x,l18_y,l18_z,l18_v,l18_vx,l18_vy,l18_vz,l19_x,l19_y,l19_z,l19_v,l19_vx,l19_vy,l19_vz,l20_x,l20_y,l20_z,l20_v,l20_vx,l20_vy,l20_vz,l21_x,l21_y,l21_z,l21_v,l21_vx,l21_vy,l21_vz,l22_x,l22_y,l22_z,l22_v,l22_vx,l22_vy,l22_vz
0,0.000000,852,480,30.000000,0.561884,0.497450,-1.039376,0.999960,0.000000,0.000000,0.000000,0.584800,0.427126,-0.977206,0.999917,0.000000,0.000000,0.000000,0.600970,0.428449,-0.977515,0.999929,0.000000,0.000000,0.000000,0.616687,0.431100,-0.977552,0.999898,0.000000,0.000000,0.000000,0.533092,0.429025,-0.971926,0.999908,0.000000,0.000000,0.000000,0.514491,0.431588,-0.971358,0.999921,0.000000,0.000000,0.000000,0.498580,0.435463,-0.971716,0.999902,0.000000,0.000000,0.000000,0.593137,0.589647,-0.896736,0.999971,0.000000,0.000000,0.000000,0.531375,0.597738,-0.885544,0.999970,0.000000,0.000000,0.000000,0.772994,0.912692,-0.381673,0.998126,0.000000,0.000000,0.000000,0.380075,0.929791,-0.362832,0.998682,0.000000,0.000000,0.000000,0.854605,1.368450,-0.566037,0.146181,0.000000,0.000000,0.000000,0.339696,1.443976,-0.496905,0.316159,0.000000,0.000000,0.000000,0.814164,1.705608,-1.123080,0.023632,0.000000,0.000000,0.000000,0.349579,1.772358,-1.201761,0.070824,0.000000,0.000000,0.000000,0.825869,1.843561,-1.285370,0.027878,0.000000,0.000000,0.000000,0.334421,1.907095,-1.372679,0.074151,0.000000,0.000000,0.000000,0.776566,1.828924,-1.325899,0.048008,0.000000,0.000000,0.000000,0.371249,1.884082,-1.453161,0.120688,0.000000,0.000000,0.000000,0.765069,1.771479,-1.164186,0.048801,0.000000,0.000000,0.000000,0.384625,1.829291,-1.258863,0.119637,0.000000,0.000000,0.000000
1,0.033333,852,480,30.000000,0.561887,0.490944,-1.031918,0.999945,0.000093,-0.195170,0.223728,0.585312,0.423448,-0.968144,0.999892,0.015385,-0.110334,0.271869,0.601292,0.424769,-0.968545,0.999907,0.009672,-0.110406,0.269070,0.616767,0.426990,-0.968674,0.999872,0.002394,-0.123301,0.266363,0.533050,0.424824,-0.964216,0.999881,-0.001280,-0.126007,0.231280,0.514523,0.427411,-0.963631,0.999897,0.000942,-0.125297,0.231829,0.498955,0.431212,-0.964052,0.999875,0.011234,-0.127508,0.229919,0.593968,0.583791,-0.885807,0.999960,0.024934,-0.175681,0.327873,0.531335,0.592405,-0.876867,0.999959,-0.001203,-0.159988,0.260291,0.772122,0.913147,-0.365189,0.997785,-0.026159,0.013644,0.494522,0.380190,0.928712,-0.339108,0.998319,0.003460,-0.032364,0.711745,0.852910,1.367597,-0.550447,0.142915,-0.050855,-0.025585,0.467706,0.337633,1.443799,-0.480740,0.306303,-0.061888,-0.005307,0.484930,0.814205,1.706988,-1.099414,0.022564,0.001221,0.041385,0.709974,0.350844,1.772544,-1.167533,0.066870,0.037943,0.005590,1.026846,0.826324,1.844726,-1.258256,0.026801,0.013651,0.034944,0.813428,0.339188,1.907143,-1.331881,0.070575,0.143017,0.001445,1.223946,0.777588,1.830883,-1.298600,0.046124,0.030654,0.058751,0.818964,0.374148,1.884162,-1.409918,0.114910,0.086972,0.002407,1.297277,0.765592,1.774053,-1.140162,0.046881,0.015684,0.077201,0.720692,0.386536,1.829447,-1.222842,0.113913,0.057331,0.004689,1.080633
2,0.066667,852,480,30.000000,0.561842,0.487771,-1.018123,0.999934,-0.001332,-0.095213,0.413861,0.585593,0.421266,-0.954286,0.999872,0.008404,-0.065472,0.415728,0.601480,0.422563,-0.954707,0.999889,0.005633,-0.066158,0.415145,0.616807,0.424595,-0.954874,0.999850,0.001200,-0.071849,0.413986,0.532926,0.422435,-0.950594,0.999859,-0.003712,-0.071684,0.408679,0.514521,0.425021,-0.949988,0.999876,-0.000038,-0.071715,0.409264,0.499126,0.428775,-0.950436,0.999852,0.005129,-0.073111,0.408490,0.594366,0.580951,-0.871399,0.999952,0.011932,-0.085187,0.432233,0.531168,0.589887,-0.862852,0.999950,-0.005000,-0.075531,0.420468,0.771582,0.913594,-0.352000,0.997516,-0.016215,0.013407,0.395679,0.380591,0.927825,-0.324260,0.998035,0.012040,-0.026622,0.445436,0.851125,1.367184,-0.532823,0.140003,-0.053548,-0.012388,0.528722,0.336327,1.442987,-0.472177,0.297570,-0.039183,-0.024372,0.256906,0.814184,1.707975,-1.074575,0.021573,-0.000619,0.029597,0.745189,0.351411,1.772387,-1.163449,0.063359,0.017023,-0.004710,0.122520,0.826396,1.845634,-1.230910,0.025799,0.002151,0.027244,0.820380,0.341169,1.906865,-1.327611,0.067407,0.059438,-0.008333,0.128084,0.778048,1.832280,-1.271760,0.044380,0.013806,0.041932,0.805199,0.375465,1.883907,-1.404855,0.109765,0.039516,-0.007660,0.151877,0.765831,1.775791,-1.115221,0.045108,0.007176,0.052167,0.748250,0.387442,1.829294,-1.218477,0.108854,0.027194,-0.004592,0.130949
3,0.100000,852,480,30.000000,0.565705,0.486408,-1.010423,0.999925,0.115895,-0.040864,0.230995,0.588867,0.420553,-0.945356,0.999858,0.098235,-0.021376,0.267897,0.603849,0.421845,-0.945826,0.999876,0.071084,-0.021560,0.266429,0.618774,0.423828,-0.945984,0.999833,0.059025,-0.023024,0.266703,0.535918,0.421237,-0.944868,0.999845,0.089761,-0.035953,0.171769,0.518047,0.423735,-0.944282,0.999864,0.105785,-0.038567,0.171202,0.502812,0.427411,-0.944750,0.999839,0.110579,-0.040931,0.170592,0.597905,0.579354,-0.860464,0.999945,0.106162,-0.047908,0.328048,0.534150,0.588195,-0.856626,0.999945,0.089459,-0.050763,0.186780,0.770093,0.913519,-0.328615,0.997298,-0.044671,-0.002239,0.701528,0.378541,0.925782,-0.326158,0.997856,-0.061516,-0.061281,-0.056945,0.851127,1.360946,-0.531260,0.138588,0.000073,-0.187165,0.046887,0.331157,1.442898,-0.472457,0.298405,-0.155109,-0.002654,-0.008423,0.814720,1.708935,-1.093265,0.020989,0.016088,0.028818,-0.560710,0.352949,1.775305,-1.167508,0.061658,0.046136,0.087533,-0.121790,0.827122,1.848023,-1.255785,0.025298,0.021778,0.071669,-0.746244,0.346267,1.911823,-1.333526,0.066054,0.152915,0.148730,-0.177448,0.779204,1.835502,-1.295291,0.043408,0.034695,0.096656,-0.705936,0.381371,1.887409,-1.409984,0.107412,0.177164,0.105064,-0.153852,0.766434,1.779710,-1.134705,0.044018,0.018082,0.117563,-0.584536,0.392173,1.832607,-1.221853,0.106224,0.141929,0.099374,-0.101266
4,0.133333,852,480,30.000000,0.566746,0.485051,-1.011321,0.999917,0.031210,-0.040720,-0.026940,0.590638,0.419467,-0.944851,0.999843,0.053115,-0.032568,0.015180,0.605358,0.420883,-0.945336,0.999864,0.045274,-0.028861,0.014715,0.620239,0.422968,-0.945475,0.999817,0.043951,-0.025807,0.015271,0.536951,0.419193,-0.944839,0.999830,0.030994,-0.061319,0.000883,0.519222,0.421436,-0.944259,0.999850,0.035223,-0.068983,0.000681,0.504022,0.424935,-0.944733,0.999824,0.036294,-0.074292,0.000511,0.599010,0.578134,-0.860476,0.999939,0.033163,-0.036614,-0.000358,0.534534,0.586091,-0.857229,0.999940,0.011517,-0.063127,-0.018091,0.768380,0.914322,-0.328909,0.997086,-0.051391,0.024093,-0.008819,0.374653,0.925556,-0.323180,0.997565,-0.116650,-0.006770,0.089326,0.851174,1.360686,-0.540470,0.139468,0.001391,-0.007793,-0.276298,0.325189,1.443194,-0.474263,0.294372,-0.179029,0.008862,-0.054181,0.814155,1.712520,-1.148398,0.020720,-0.016955,0.107560,-1.653990,0.351386,1.777665,-1.169717,0.059299,-0.046898,0.070814,-0.066268,0.826156,1.854542,-1.318010,0.025158,-0.028993,0.195587,-1.866750,0.346130,1.915064,-1.338799,0.064137,-0.004108,0.097239,-0.158190,0.777437,1.840898,-1.354891,0.043058,-0.053009,0.161880,-1.788000,0.381107,1.889645,-1.414035,0.104334,-0.007923,0.067080,-0.121533,0.764620,1.785182,-1.189298,0.043544,-0.054418,0.164140,-1.637768,0.391603,1.835046,-1.223512,0.103062,-0.017107,0.073189,-0.049760
5,0.166667,852,480,30.000000,0.567769,0.482324,-1.019343,0.999905,0.030706,-0.081811,-0.240662,0.591710,0.417610,-0.951819,0.999822,0.032183,-0.055721,-0.209062,0.606291,0.419057,-0.952338,0.999845,0.027992,-0.054776,-0.210049,0.621119,0.421103,-0.952468,0.999794,0.026389,-0.055944,-0.209795,0.537864,0.416791,-0.952549,0.999808,0.027396,-0.072053,-0.231298,0.520280,0.419002,-0.951978,0.999829,0.031756,-0.073027,-0.231559,0.505149,0.422580,-0.952473,0.999801,0.033812,-0.070634,-0.232206,0.600175,0.574808,-0.867147,0.999930,0.034955,-0.099784,-0.200120,0.535441,0.582431,-0.865824,0.999930,0.027210,-0.109806,-0.257850,0.767529,0.915363,-0.337740,0.996749,-0.025531,0.031232,-0.264911,0.374325,0.924683,-0.326066,0.997028,-0.009830,-0.026194,-0.086562,0.851516,1.360711,-0.552314,0.139181,0.010287,0.000765,-0.355301,0.324703,1.443038,-0.483780,0.283069,-0.014579,-0.004663,-0.285509,0.813818,1.715539,-1.143917,0.020389,-0.010116,0.090544,0.134422,0.351505,1.777280,-1.195614,0.056128,0.003573,-0.011555,-0.776893,0.825122,1.858515,-1.311059,0.025020,-0.031003,0.119165,0.208519,0.346670,1.914590,-1.367698,0.061475,0.016211,-0.014223,-0.866983,0.776383,1.843145,-1.348404,0.042734,-0.031625,0.067395,0.194618,0.381255,1.888340,-1.439617,0.100057,0.004461,-0.039160,-0.767452,0.763869,1.787257,-1.184353,0.043085,-0.022520,0.062263,0.148348,0.391758,1.833818,-1.249388,0.098782,0.004642,-0.036861,-0.776292
6,0.200000,852,480,30.000000,0.567753,0.481823,-1.019863,0.999894,-0.000485,-0.015028,-0.015593,0.591848,0.416639,-0.952811,0.999803,0.004127,-0.029126,-0.029753,0.606437,0.417907,-0.953309,0.999828,0.004370,-0.034488,-0.029136,0.621256,0.419682,-0.953433,0.999774,0.004120,-0.042616,-0.028946,0.537932,0.416093,-0.952978,0.999788,0.002042,-0.020949,-0.012891,0.520413,0.418366,-0.952408,0.999811,0.004000,-0.019076,-0.012926,0.505347,0.422013,-0.952895,0.999779,0.005956,-0.017009,-0.012669,0.600318,0.573777,-0.868530,0.999920,0.004286,-0.030913,-0.041508,0.535614,0.581576,-0.866241,0.999921,0.005186,-0.025637,-0.012533,0.767560,0.916473,-0.340297,0.996464,0.000948,0.033304,-0.076735,0.373516,0.924610,-0.320354,0.996510,-0.024266,-0.002194,0.171347,0.851658,1.360743,-0.563248,0.140557,0.004252,0.000962,-0.328027,0.320771,1.440969,-0.516619,0.273880,-0.117961,-0.062070,-0.985172,0.813809,1.716373,-1.142277,0.020296,-0.000281,0.025038,0.049202,0.352438,1.761801,-1.278001,0.053237,0.027983,-0.464358,-2.471634,0.825109,1.859337,-1.307429,0.025084,-0.000408,0.024662,0.108916,0.350524,1.896674,-1.454831,0.059008,0.115623,-0.537486,-2.613977,0.776358,1.843261,-1.344561,0.042699,-0.000769,0.003490,0.115296,0.384858,1.864306,-1.516018,0.095991,0.108088,-0.721003,-2.292048,0.763874,1.787411,-1.181929,0.042949,0.000141,0.004631,0.072702,0.393857,1.811252,-1.328956,0.094719,0.062972,-0.676982,-2.387041
7,0.233333,852,480,30.000000,0.568512,0.481762,-0.968691,0.999887,0.022767,-0.001836,1.535150,0.592809,0.416469,-0.903590,0.999794,0.028827,-0.005121,1.476622,0.607279,0.417710,-0.904158,0.999820,0.025261,-0.005927,1.474535,0.622172,0.419415,-0.904263,0.999763,0.027482,-0.008015,1.475090,0.538767,0.415909,-0.902272,0.999779,0.025036,-0.005495,1.521201,0.521259,0.418182,-0.901696,0.999803,0.025368,-0.005523,1.521383,0.506123,0.421786,-0.902221,0.999770,0.023264,-0.006830,1.520221,0.600740,0.573526,-0.821378,0.999915,0.012658,-0.007528,1.414556,0.535987,0.581085,-0.816952,0.999916,0.011196,-0.014740,1.478671,0.767410,0.916470,-0.305711,0.996109,-0.004522,-0.000097,1.037608,0.373576,0.924619,-0.294318,0.996297,0.001798,0.000261,0.781096,0.852029,1.360183,-0.554773,0.138872,0.011117,-0.016798,0.254241,0.321275,1.440930,-0.501716,0.267969,0.015102,-0.001187,0.447090,0.814514,1.716946,-1.141563,0.019935,0.021154,0.017195,0.021429,0.348693,1.770692,-1.241539,0.051431,-0.112329,0.266715,1.093866,0.825469,1.860206,-1.305267,0.024967,0.010808,0.026093,0.064867,0.343595,1.910105,-1.408677,0.058027,-0.207863,0.402932,1.384617,0.777480,1.844088,-1.342165,0.042357,0.033681,0.024805,0.071865,0.378117,1.879240,-1.476496,0.094360,-0.202229,0.448004,1.185665,0.764447,1.788952,-1.180923,0.042468,0.017180,0.046234,0.030184,0.389491,1.825494,-1.294646,0.092802,-0.130955,0.427265,1.029303
8,0.266667,852,480,30.000000,0.572224,0.481717,-0.977366,0.999886,0.111346,-0.001342,-0.260233,0.596302,0.416448,-0.914714,0.999794,0.104792,-0.000623,-0.333720,0.610774,0.417696,-0.915242,0.999817,0.104846,-0.000414,-0.332521,0.625474,0.419407,-0.915360,0.999760,0.099059,-0.000262,-0.332909,0.543831,0.415663,-0.912492,0.999779,0.151911,-0.007397,-0.306612,0.526025,0.417684,-0.911912,0.999803,0.142969,-0.014927,-0.306491,0.510516,0.420972,-0.912400,0.999771,0.131806,-0.024406,-0.305384,0.602381,0.573583,-0.830764,0.999913,0.049222,0.001695,-0.281559,0.538112,0.580477,-0.824023,0.999915,0.063744,-0.018234,-0.212107,0.767009,0.916793,-0.311800,0.995794,-0.012013,0.009699,-0.182698,0.373637,0.926164,-0.294798,0.996095,0.001844,0.046365,-0.014403,0.853228,1.367510,-0.566069,0.136059,0.035974,0.219798,-0.338872,0.322342,1.451961,-0.534406,0.261191,0.032012,0.330952,-0.980682,0.815441,1.724085,-1.172085,0.019328,0.027823,0.214162,-0.915667,0.348487,1.781071,-1.308667,0.049838,-0.006204,0.311379,-2.013824,0.825671,1.867540,-1.333965,0.024500,0.006049,0.219991,-0.860960,0.342480,1.918831,-1.482264,0.057208,-0.033473,0.261784,-2.207608,0.778287,1.849974,-1.368275,0.041535,0.024197,0.176579,-0.783298,0.377343,1.887114,-1.550846,0.093066,-0.023223,0.236228,-2.230514,0.765371,1.795422,-1.210772,0.041521,0.027723,0.194088,-0.895472,0.389089,1.833854,-1.361983,0.091237,-0.012073,0.250808,-2.020118
9,0.300000,852,480,30.000000,0.574060,0.481344,-0.985587,0.999883,0.055080,-0.011184,-0.246640,0.598266,0.416347,-0.922222,0.999789,0.058910,-0.003012,-0.225222,0.612833,0.417623,-0.922715,0.999811,0.061771,-0.002179,-0.224193,0.627491,0.419353,-0.922823,0.999754,0.060484,-0.001617,-0.223893,0.546300,0.415089,-0.919987,0.999776,0.074093,-0.017216,-0.224850,0.528444,0.416766,-0.919411,0.999798,0.072582,-0.027541,-0.224964,0.512827,0.419651,-0.919885,0.999767,0.069337,-0.039627,-0.224521,0.603245,0.573601,-0.838833,0.999911,0.025930,0.000554,-0.242082,0.538981,0.579310,-0.832274,0.999912,0.026062,-0.035022,-0.247541,0.766941,0.916799,-0.316289,0.995503,-0.002055,0.000181,-0.134667,0.373677,0.927344,-0.300677,0.995880,0.001186,0.035385,-0.176383,0.855464,1.372791,-0.577076,0.134358,0.067078,0.158426,-0.330223,0.323540,1.458103,-0.549202,0.256249,0.035943,0.184239,-0.443893,0.817302,1.733245,-1.184025,0.018856,0.055835,0.274801,-0.358196,0.348515,1.786263,-1.334117,0.048509,0.000857,0.155740,-0.763496,0.827273,1.878258,-1.346250,0.024088,0.048076,0.321554,-0.368528,0.342342,1.923105,-1.509142,0.056425,-0.004116,0.128224,-0.806347,0.779731,1.861594,-1.378610,0.040828,0.043321,0.348616,-0.310049,0.377334,1.891568,-1.578459,0.091846,-0.000264,0.133610,-0.828388,0.766788,1.806898,-1.222117,0.040791,0.042506,0.344288,-0.340344,0.389091,1.838854,-1.387807,0.089857,0.000058,0.150011,-0.774715
