frame,time_sec,video_width,video_height,fps,l0_x,l0_y,l0_z,l0_v,l0_vx,l0_vy,l0_vz,l1_x,l1_y,l1_z,l1_v,l1_vx,l1_vy,l1_vz,l2_x,l2_y,l2_z,l2_v,l2_vx,l2_vy,l2_vz,l3_x,l3_y,l3_z,l3_v,l3_vx,l3_vy,l3_vz,l4_x,l4_y,l4_z,l4_v,l4_vx,l4_vy,l4_vz,l5_x,l5_y,l5_z,l5_v,l5_vx,l5_vy,l5_vz,l6_x,l6_y,l6_z,l6_v,l6_vx,l6_vy,l6_vz,l9_x,l9_y,l9_z,l9_v,l9_vx,l9_vy,l9_vz,l10_x,l10_y,l10_z,l10_v,l10_vx,l10_vy,l10_vz,l11_x,l11_y,l11_z,l11_v,l11_vx,l11_vy,l11_vz,l12_x,l12_y,l12_z,l12_v,l12_vx,l12_vy,l12_vz,l13_x,l13_y,l13_z,l13_v,l13_vx,l13_vy,l13_vz,l14_x,l14_y,l14_z,l14_v,l14_vx,l14_vy,l14_vz,l15_x,l15_y,l15_z,l15_v,l15_vx,l15_vy,l15_vz,l16_x,l16_y,l16_z,l16_v,l16_vx,l16_vy,l16_vz,l17_x,l17_y,l17_z,l17_v,l17_vx,l17_vy,l17_vz,l18_x,l18_y,l18_z,l18_v,l18_vx,l18_vy,l18_vz,l19_x,l19_y,l19_z,l19_v,l19_vx,l19_vy,l19_vz,l20_x,l20_y,l20_z,l20_v,l20_vx,l20_vy,l20_vz,l21_x,l21_y,l21_z,l21_v,l21_vx,l21_vy,l21_vz,l22_x,l22_y,l22_z,l22_v,l22_vx,l22_vy,l22_vz
0,0.000000,852,480,30.000000,0.527256,0.332967,-1.017665,0.999968,0.000000,0.000000,0.000000,0.548274,0.279182,-0.974678,0.999927,0.000000,0.000000,0.000000,0.560895,0.278862,-0.974697,0.999932,0.000000,0.000000,0.000000,0.572113,0.279456,-0.974833,0.999920,0.000000,0.000000,0.000000,0.505779,0.281194,-0.977371,0.999931,0.000000,0.000000,0.000000,0.491509,0.282762,-0.977319,0.999942,0.000000,0.000000,0.000000,0.479349,0.285064,-0.977573,0.999941,0.000000,0.000000,0.000000,0.551477,0.402365,-0.904112,0.999980,0.000000,0.000000,0.000000,0.506524,0.406592,-0.904403,0.999983,0.000000,0.000000,0.000000,0.679991,0.656925,-0.439739,0.999464,0.000000,0.000000,0.000000,0.382947,0.665447,-0.495644,0.999716,0.000000,0.000000,0.000000,0.718250,1.007366,-0.360244,0.756731,0.000000,0.000000,0.000000,0.348845,1.027616,-0.392261,0.800407,0.000000,0.000000,0.000000,0.750335,1.409497,-0.635360,0.091327,0.000000,0.000000,0.000000,0.337604,1.398110,-0.673319,0.164287,0.000000,0.000000,0.000000,0.768779,1.517289,-0.722924,0.066679,0.000000,0.000000,0.000000,0.326721,1.496253,-0.758615,0.112667,0.000000,0.000000,0.000000,0.738388,1.521231,-0.783565,0.109734,0.000000,0.000000,0.000000,0.349542,1.495025,-0.842001,0.168910,0.000000,0.000000,0.000000,0.725212,1.475409,-0.672219,0.117732,0.000000,0.000000,0.000000,0.359843,1.455715,-0.715197,0.180168,0.000000,0.000000,0.000000
1,0.033333,852,480,30.000000,0.527215,0.334768,-1.053280,0.999966,-0.001241,0.054021,-1.068445,0.548303,0.280043,-1.007204,0.999924,0.000882,0.025805,-0.975788,0.560890,0.279832,-1.007255,0.999928,-0.000157,0.029088,-0.976750,0.572120,0.280407,-1.007349,0.999917,0.000188,0.028540,-0.975478,0.505698,0.282008,-1.010814,0.999929,-0.002450,0.024421,-1.003304,0.491464,0.283351,-1.010747,0.999939,-0.001351,0.017676,-1.002849,0.479454,0.285648,-1.011019,0.999939,0.003150,0.017509,-1.003380,0.551466,0.403753,-0.935534,0.999979,-0.000308,0.041635,-0.942653,0.506169,0.407772,-0.937599,0.999983,-0.010661,0.035414,-0.995876,0.680840,0.657551,-0.448078,0.999442,0.025477,0.018758,-0.250180,0.382957,0.665254,-0.516936,0.999695,0.000283,-0.005788,-0.638773,0.720712,1.008574,-0.379014,0.750316,0.073836,0.036221,-0.563096,0.348845,1.029703,-0.427503,0.793803,0.000011,0.062606,-1.057281,0.758808,1.413602,-0.680463,0.091924,0.254195,0.123153,-1.353098,0.338824,1.400410,-0.727642,0.160641,0.036626,0.068986,-1.629707,0.778366,1.519312,-0.772812,0.068020,0.287592,0.060668,-1.496651,0.329488,1.500561,-0.820892,0.110646,0.083003,0.129236,-1.868336,0.749983,1.521359,-0.834809,0.111446,0.347834,0.003837,-1.537344,0.351481,1.496671,-0.902315,0.165928,0.058170,0.049392,-1.809402,0.735404,1.476337,-0.719196,0.119115,0.305750,0.027838,-1.409310,0.361649,1.457535,-0.770077,0.176772,0.054187,0.054595,-1.646392
2,0.066667,852,480,30.000000,0.527088,0.336035,-1.063435,0.999964,-0.003811,0.038007,-0.304670,0.548306,0.280639,-1.017060,0.999921,0.000088,0.017879,-0.295676,0.560871,0.280468,-1.017129,0.999924,-0.000570,0.019076,-0.296216,0.572117,0.281015,-1.017220,0.999914,-0.000082,0.018242,-0.296141,0.505538,0.282636,-1.020498,0.999926,-0.004774,0.018837,-0.290526,0.491344,0.283832,-1.020435,0.999936,-0.003580,0.014424,-0.290644,0.479493,0.286109,-1.020715,0.999936,0.001155,0.013822,-0.290880,0.551439,0.404701,-0.945124,0.999978,-0.000831,0.028448,-0.287713,0.505702,0.408647,-0.946928,0.999982,-0.014014,0.026235,-0.279878,0.681893,0.658439,-0.452490,0.999413,0.031568,0.026652,-0.132354,0.382951,0.665246,-0.522730,0.999672,-0.000175,-0.000243,-0.173805,0.722200,1.009025,-0.389803,0.742089,0.044650,0.013529,-0.323677,0.348846,1.032003,-0.435776,0.787946,0.000006,0.068986,-0.248164,0.764735,1.416639,-0.701268,0.091838,0.177800,0.091106,-0.624152,0.339448,1.403866,-0.739898,0.157510,0.018695,0.103698,-0.367663,0.785087,1.520821,-0.795119,0.068836,0.201652,0.045276,-0.669208,0.331168,1.505594,-0.833914,0.108803,0.050397,0.150973,-0.390633,0.757591,1.521458,-0.857209,0.112368,0.228249,0.002975,-0.671977,0.352659,1.499083,-0.914510,0.163195,0.035331,0.072341,-0.365857,0.742333,1.477132,-0.740298,0.119770,0.207889,0.023850,-0.633067,0.362718,1.460129,-0.782070,0.173694,0.032081,0.077823,-0.359804
3,0.100000,852,480,30.000000,0.526988,0.336834,-1.069179,0.999962,-0.003000,0.023976,-0.172316,0.548303,0.281048,-1.023874,0.999918,-0.000102,0.012290,-0.204399,0.560833,0.280894,-1.023923,0.999919,-0.001121,0.012774,-0.203830,0.572086,0.281426,-1.024024,0.999910,-0.000930,0.012330,-0.204120,0.505419,0.283057,-1.028148,0.999924,-0.003587,0.012624,-0.229497,0.491252,0.284165,-1.028115,0.999933,-0.002773,0.009989,-0.230391,0.479528,0.286434,-1.028407,0.999935,0.001043,0.009750,-0.230759,0.551425,0.405448,-0.950864,0.999977,-0.000420,0.022414,-0.172207,0.505406,0.409381,-0.953892,0.999981,-0.008882,0.022024,-0.208930,0.682397,0.659357,-0.457144,0.999350,0.015133,0.027532,-0.139598,0.382937,0.665239,-0.536627,0.999660,-0.000418,-0.000218,-0.416919,0.721635,1.009032,-0.389541,0.733217,-0.016957,0.000211,0.007883,0.348819,1.032697,-0.447964,0.785117,-0.000790,0.020825,-0.365652,0.764114,1.421658,-0.665764,0.089473,-0.018634,0.150576,1.065118,0.340178,1.404707,-0.737969,0.156195,0.021920,0.025234,0.057866,0.784878,1.525305,-0.748646,0.067831,-0.006284,0.134525,1.394196,0.332633,1.506883,-0.828822,0.108399,0.043956,0.038677,0.152750,0.755997,1.524725,-0.811297,0.110387,-0.047835,0.098004,1.377348,0.353608,1.499681,-0.908420,0.162210,0.028458,0.017942,0.182709,0.741074,1.481029,-0.704043,0.117603,-0.037773,0.116912,1.087646,0.363607,1.460718,-0.779119,0.172287,0.026650,0.017670,0.088533
4,0.133333,852,480,30.000000,0.526881,0.337522,-1.079006,0.999960,-0.003204,0.020629,-0.294793,0.548292,0.281477,-1.034022,0.999914,-0.000302,0.012876,-0.304466,0.560790,0.281320,-1.034065,0.999915,-0.001298,0.012788,-0.304252,0.572043,0.281829,-1.034166,0.999905,-0.001287,0.012088,-0.304248,0.505352,0.283551,-1.038654,0.999921,-0.002006,0.014822,-0.315181,0.491209,0.284621,-1.038639,0.999931,-0.001276,0.013705,-0.315732,0.479577,0.286886,-1.038935,0.999934,0.001481,0.013567,-0.315850,0.551401,0.406008,-0.960175,0.999975,-0.000701,0.016808,-0.279320,0.505143,0.409920,-0.963809,0.999980,-0.007886,0.016176,-0.297503,0.682825,0.660048,-0.464337,0.999292,0.012839,0.020748,-0.215797,0.382928,0.665173,-0.546673,0.999649,-0.000284,-0.001983,-0.301378,0.720692,1.009035,-0.386120,0.723880,-0.028269,0.000104,0.102620,0.348837,1.033101,-0.456486,0.782552,0.000519,0.012116,-0.255666,0.763696,1.423682,-0.662918,0.087489,-0.012537,0.060707,0.085378,0.340776,1.405026,-0.742646,0.154690,0.017943,0.009563,-0.140317,0.784548,1.526964,-0.743181,0.066983,-0.009903,0.049764,0.163944,0.333538,1.507565,-0.832750,0.107604,0.027140,0.020467,-0.117833,0.754836,1.526063,-0.806124,0.108682,-0.034815,0.040154,0.155175,0.354380,1.500245,-0.911715,0.160806,0.023165,0.016919,-0.098847,0.740145,1.482661,-0.701283,0.115729,-0.027881,0.048945,0.082809,0.364332,1.461199,-0.783377,0.170498,0.021755,0.014434,-0.127743
5,0.166667,852,480,30.000000,0.526815,0.338163,-1.083480,0.999959,-0.001962,0.019238,-0.134218,0.548289,0.281855,-1.038604,0.999911,-0.000098,0.011322,-0.137451,0.560765,0.281682,-1.038645,0.999911,-0.000740,0.010868,-0.137401,0.572018,0.282170,-1.038747,0.999901,-0.000765,0.010227,-0.137440,0.505322,0.283997,-1.043160,0.999919,-0.000889,0.013390,-0.135180,0.491196,0.285043,-1.043150,0.999928,-0.000408,0.012641,-0.135330,0.479637,0.287290,-1.043445,0.999932,0.001812,0.012112,-0.135301,0.551386,0.406539,-0.964564,0.999974,-0.000451,0.015921,-0.131679,0.504981,0.410391,-0.968157,0.999979,-0.004862,0.014132,-0.130452,0.683095,0.660611,-0.469306,0.999241,0.008111,0.016891,-0.149090,0.382921,0.665128,-0.549912,0.999637,-0.000195,-0.001364,-0.097162,0.720300,1.008977,-0.386124,0.715624,-0.011757,-0.001756,-0.000113,0.348848,1.033249,-0.458560,0.780125,0.000359,0.004442,-0.062226,0.763062,1.425344,-0.661777,0.086089,-0.019011,0.049860,0.034246,0.341017,1.405190,-0.743520,0.153512,0.007229,0.004928,-0.026225,0.783624,1.528573,-0.742592,0.066503,-0.027729,0.048262,0.017683,0.333808,1.507962,-0.833251,0.106932,0.008097,0.011888,-0.015053,0.754061,1.527605,-0.805736,0.107590,-0.023269,0.046248,0.011643,0.354654,1.500733,-0.912229,0.159659,0.008225,0.014638,-0.015428,0.739466,1.484414,-0.699981,0.114492,-0.020363,0.052593,0.039046,0.364611,1.461643,-0.784223,0.168984,0.008357,0.013336,-0.025386
6,0.200000,852,480,30.000000,0.526491,0.338570,-1.076589,0.999957,-0.009727,0.012216,0.206720,0.548202,0.282082,-1.031791,0.999909,-0.002621,0.006803,0.204391,0.560646,0.281901,-1.031831,0.999907,-0.003566,0.006579,0.204424,0.571860,0.282366,-1.031937,0.999898,-0.004735,0.005861,0.204309,0.505132,0.284136,-1.036186,0.999917,-0.005713,0.004168,0.209230,0.491029,0.285116,-1.036170,0.999927,-0.004996,0.002186,0.209423,0.479642,0.287324,-1.036460,0.999931,0.000140,0.001020,0.209559,0.551203,0.406819,-0.958430,0.999973,-0.005502,0.008415,0.184017,0.504554,0.410495,-0.961740,0.999978,-0.012808,0.003127,0.192529,0.683178,0.661218,-0.467121,0.999196,0.002475,0.018207,0.065563,0.382862,0.665122,-0.546066,0.999625,-0.001773,-0.000159,0.115373,0.720281,1.008535,-0.384599,0.707898,-0.000592,-0.013250,0.045754,0.348754,1.033318,-0.454909,0.776302,-0.002849,0.002089,0.109530,0.763126,1.425595,-0.661350,0.084737,0.001913,0.007550,0.012821,0.341039,1.405316,-0.740914,0.151947,0.000660,0.003784,0.078181,0.783348,1.528645,-0.742000,0.066085,-0.008283,0.002164,0.017744,0.333827,1.508176,-0.830980,0.106069,0.000571,0.006448,0.068146,0.755037,1.527656,-0.805255,0.106655,0.029308,0.001541,0.014439,0.354710,1.500970,-0.909543,0.158321,0.001671,0.007128,0.080577,0.740223,1.484562,-0.699338,0.113352,0.022713,0.004442,0.019287,0.364674,1.461862,-0.781549,0.167243,0.001899,0.006562,0.080225
7,0.233333,852,480,30.000000,0.526202,0.338891,-1.077071,0.999956,-0.008683,0.009640,-0.014470,0.548124,0.282274,-1.031849,0.999906,-0.002319,0.005757,-0.001745,0.560540,0.282078,-1.031894,0.999904,-0.003208,0.005310,-0.001888,0.571696,0.282522,-1.031994,0.999895,-0.004926,0.004701,-0.001738,0.504994,0.284274,-1.036350,0.999915,-0.004129,0.004123,-0.004925,0.490908,0.285194,-1.036343,0.999924,-0.003648,0.002361,-0.005193,0.479646,0.287361,-1.036639,0.999929,0.000124,0.001118,-0.005379,0.550998,0.407014,-0.958641,0.999972,-0.006137,0.005853,-0.006305,0.504180,0.410565,-0.962200,0.999978,-0.011212,0.002094,-0.013812,0.683235,0.661727,-0.466466,0.999152,0.001724,0.015265,0.019637,0.382806,0.665104,-0.545509,0.999613,-0.001675,-0.000538,0.016694,0.720263,1.008513,-0.384050,0.701750,-0.000519,-0.000658,0.016475,0.348745,1.033368,-0.455084,0.773418,-0.000268,0.001477,-0.005233,0.762755,1.426733,-0.660367,0.083701,-0.011135,0.034128,0.029476,0.341280,1.405348,-0.742306,0.150499,0.007224,0.000951,-0.041748,0.782790,1.529798,-0.741848,0.065759,-0.016721,0.034597,0.004558,0.334279,1.508251,-0.832787,0.105155,0.013563,0.002235,-0.054227,0.754625,1.528632,-0.804929,0.105854,-0.012378,0.029279,0.009788,0.355154,1.501066,-0.910867,0.156889,0.013346,0.002861,-0.039713,0.739866,1.485581,-0.698289,0.112339,-0.010711,0.030574,0.031471,0.365043,1.461938,-0.782758,0.165410,0.011089,0.002264,-0.036280
8,0.266667,852,480,30.000000,0.526070,0.339162,-1.092435,0.999954,-0.003961,0.008125,-0.460922,0.548096,0.282431,-1.045964,0.999902,-0.000865,0.004713,-0.423453,0.560474,0.282246,-1.046009,0.999899,-0.001981,0.005025,-0.423456,0.571588,0.282692,-1.046108,0.999890,-0.003222,0.005084,-0.423396,0.504907,0.284389,-1.051840,0.999912,-0.002625,0.003453,-0.464691,0.490821,0.285285,-1.051857,0.999922,-0.002611,0.002710,-0.465420,0.479650,0.287432,-1.052162,0.999927,0.000116,0.002138,-0.465692,0.550885,0.407196,-0.972471,0.999970,-0.003385,0.005446,-0.414906,0.503907,0.410677,-0.977991,0.999977,-0.008197,0.003357,-0.473725,0.683236,0.662106,-0.472011,0.999102,0.000034,0.011364,-0.166339,0.382594,0.665203,-0.560566,0.999595,-0.006380,0.002967,-0.451689,0.720191,1.008507,-0.389130,0.695886,-0.002169,-0.000197,-0.152421,0.348723,1.034794,-0.471794,0.769835,-0.000662,0.042787,-0.501300,0.762487,1.429239,-0.666315,0.082738,-0.008043,0.075188,-0.178442,0.342631,1.407164,-0.759929,0.148407,0.040538,0.054477,-0.528690,0.782370,1.532341,-0.749632,0.065515,-0.012596,0.076278,-0.233524,0.336675,1.510613,-0.851674,0.103841,0.071879,0.070857,-0.566613,0.754318,1.531020,-0.812230,0.105179,-0.009196,0.071629,-0.219027,0.357770,1.503019,-0.928481,0.154889,0.078464,0.058597,-0.528429,0.739590,1.488024,-0.704238,0.111396,-0.008284,0.073303,-0.178465,0.367201,1.463681,-0.799624,0.162936,0.064724,0.052310,-0.505968
9,0.300000,852,480,30.000000,0.526011,0.339530,-1.090249,0.999953,-0.001765,0.011035,0.065582,0.548093,0.282600,-1.043745,0.999899,-0.000091,0.005092,0.066580,0.560450,0.282403,-1.043786,0.999896,-0.000703,0.004716,0.066690,0.571547,0.282838,-1.043882,0.999887,-0.001228,0.004393,0.066769,0.504878,0.284551,-1.049929,0.999910,-0.000867,0.004860,0.057328,0.490785,0.285418,-1.049936,0.999920,-0.001068,0.004013,0.057628,0.479656,0.287539,-1.050226,0.999926,0.000173,0.003187,0.058072,0.550823,0.407566,-0.970619,0.999969,-0.001872,0.011107,0.055541,0.503741,0.410911,-0.976379,0.999976,-0.004976,0.007014,0.048355,0.683127,0.662243,-0.471440,0.999072,-0.003272,0.004100,0.017121,0.382347,0.665726,-0.561993,0.999584,-0.007381,0.015694,-0.042830,0.720180,1.008300,-0.388623,0.688635,-0.000320,-0.006187,0.015203,0.348663,1.037863,-0.474199,0.765412,-0.001791,0.092082,-0.072147,0.762609,1.431399,-0.666373,0.081549,0.003666,0.064795,-0.001729,0.346059,1.411314,-0.761853,0.146614,0.102825,0.124490,-0.057735,0.782450,1.535540,-0.750837,0.064989,0.002385,0.095984,-0.036144,0.341061,1.515169,-0.852846,0.102736,0.131570,0.136678,-0.035133,0.754456,1.534890,-0.812547,0.104237,0.004129,0.116097,-0.009533,0.362860,1.507658,-0.929648,0.153192,0.152708,0.139178,-0.035021,0.739692,1.491485,-0.704137,0.110390,0.003060,0.103819,0.003045,0.371761,1.467874,-0.801316,0.160961,0.136794,0.125778,-0.050760
10,0.333333,852,480,30.000000,0.525867,0.340009,-1.090359,0.999952,-0.004324,0.014364,-0.003290,0.548060,0.282861,-1.043563,0.999897,-0.000976,0.007831,0.005475,0.560395,0.282668,-1.043610,0.999894,-0.001640,0.007962,0.005282,0.571486,0.283113,-1.043696,0.999884,-0.001849,0.008233,0.005583,0.504831,0.284878,-1.049096,0.999908,-0.001397,0.009823,0.024987,0.490742,0.285762,-1.049087,0.999918,-0.001291,0.010314,0.025474,0.479659,0.287853,-1.049373,0.999924,0.000103,0.009442,0.025613,0.550750,0.407998,-0.970780,0.999968,-0.002189,0.012946,-0.004814,0.503503,0.411326,-0.975559,0.999975,-0.007131,0.012471,0.024616,0.683132,0.662663,-0.472284,0.999059,0.000143,0.012599,-0.025305,0.382230,0.666882,-0.558032,0.999569,-0.003534,0.034676,0.118825,0.720257,1.008482,-0.398435,0.683357,0.002285,0.005465,-0.294339,0.348638,1.041753,-0.469431,0.759776,-0.000737,0.116680,0.143031,0.763426,1.435468,-0.692170,0.080819,0.024519,0.122076,-0.773912,0.346412,1.417347,-0.759897,0.143838,0.010608,0.180992,0.058706,0.783532,1.540911,-0.781999,0.064760,0.032474,0.161136,-0.934852,0.341323,1.522025,-0.851757,0.100940,0.007887,0.205697,0.032673,0.755259,1.540515,-0.842917,0.103838,0.024077,0.168765,-0.911080,0.363424,1.515045,-0.929269,0.150628,0.016912,0.221593,0.011394,0.740365,1.496656,-0.730330,0.109855,0.020176,0.155146,-0.785794,0.372344,1.474739,-0.799928,0.158260,0.017490,0.205954,0.041637
